manifest_id,manuscript_item,script,primary_inputs,output_files,workflow_step,output_kind,required_for_manuscript,verified_generated,verified_against_manuscript,notes
M011,City-specific nonstationary AR(1) prior parameters,Code/Prior.R,Output/Intermediate/LME/lme_city3_annual_1368_1911.csv,Output/Intermediate/Prior/mtB.csv; Output/Intermediate/Prior/muB.csv; Output/Intermediate/Prior/rtB.csv; Output/Intermediate/Prior/mtS.csv; Output/Intermediate/Prior/muS.csv; Output/Intermediate/Prior/rtS.csv; Output/Intermediate/Prior/mtH.csv; Output/Intermediate/Prior/muH.csv; Output/Intermediate/Prior/rtH.csv,prior,intermediate,yes,yes,yes,The final reproducibility run must use the full manuscript penalty-search grid.
M012,"Figure 9(a)–(c), Figure S4(a)–(c), and Figure S5(a)–(c)",Code/Figure9abc.R,Output/Intermediate/Prior/mtB.csv; Output/Intermediate/Prior/muB.csv; Output/Intermediate/Prior/rtB.csv; Output/Intermediate/Prior/mtS.csv; Output/Intermediate/Prior/muS.csv; Output/Intermediate/Prior/rtS.csv; Output/Intermediate/Prior/mtH.csv; Output/Intermediate/Prior/muH.csv; Output/Intermediate/Prior/rtH.csv,Output/Figure9/Figure9a.png; Output/Figure9/Figure9b.png; Output/Figure9/Figure9c.png; Output/Supplementary/FigureS4a.png; Output/Supplementary/FigureS4b.png; Output/Supplementary/FigureS4c.png; Output/Supplementary/FigureS5a.png; Output/Supplementary/FigureS5b.png; Output/Supplementary/FigureS5c.png; Output/Figure9/Figure9abc_parameter_plot_data.csv,figure9abc,figure+table,yes,yes,yes,Beijing is Figure 9; Shanghai and Hong Kong are Supplementary Figures S4 and S5.
M013,"Figure 9(d), Figure S4(d), Figure S5(d), and city assimilation diagnostics",Code/Figure9d.R,Output/Intermediate/LME/lme_city3_annual_1368_1911.csv; Output/Intermediate/REACHES/reaches_kriging_city3_mean.csv; Output/Intermediate/REACHES/reaches_kriging_city3_sd.csv; Output/Intermediate/REACHES/reaches_kriging_metadata.csv; Output/Intermediate/Prior/mt*.csv; Output/Intermediate/Prior/mu*.csv; Output/Intermediate/Prior/rt*.csv,Output/Figure9/Figure9d.png; Output/Supplementary/FigureS4d.png; Output/Supplementary/FigureS5d.png; Data/Valid/assimilation_Beijing.csv; Data/Valid/assimilation_Shanghai.csv; Data/Valid/assimilation_HongKong.csv; Output/Intermediate/Assimilation/assimilation_metrics.csv; Output/Intermediate/Assimilation/assimilation_metadata.csv; Output/Intermediate/Assimilation/diagnostic_Beijing.png; Output/Intermediate/Assimilation/diagnostic_Shanghai.png; Output/Intermediate/Assimilation/diagnostic_HongKong.png; Output/Intermediate/Assimilation/diagnostic_temperature_Beijing.png; Output/Intermediate/Assimilation/diagnostic_temperature_Shanghai.png; Output/Intermediate/Assimilation/diagnostic_temperature_HongKong.png,figure9d,figure+table+intermediate,yes,yes,yes,"Retain coordinate, MSPE/SD, filter-identity, beta, weight, bias, RMSE, and anomaly diagnostics."
M014,Figure 10(a)–(c) and validation metrics,Code/Figure10.R,Data/Valid/assimilation_Beijing.csv; Data/Valid/assimilation_Shanghai.csv; Data/Valid/assimilation_HongKong.csv; Data/GHCNv4.xlsx,Output/Figure10/Figure10a.png; Output/Figure10/Figure10b.png; Output/Figure10/Figure10c.png; Output/Figure10/Figure10_metrics.csv,figure10,figure+table,yes,yes,yes,"Verify correlation, mean bias, RMSE, and anomaly metrics against the revised manuscript."
M015,Figure S2,Code/Supplementary/FigureS2.R,Data/temperature index value.v1.xlsx,Output/Supplementary/FigureS2a.png; Output/Supplementary/FigureS2b.png; Output/Supplementary/FigureS2c.png; Output/Supplementary/FigureS2d.png; Output/Supplementary/FigureS2e.png,figureS2,figure,yes,yes,yes,Five historical-period panels using filenames FigureS2a.png through FigureS2e.png.
M016,Figure S3(a)–(c),Code/Supplementary/FigureS3.R,Data/Valid/assimilation_Beijing.csv; Data/Valid/assimilation_Shanghai.csv; Data/Valid/assimilation_HongKong.csv; Data/GHCNv4.xlsx,Output/Supplementary/FigureS2a.png; Output/Supplementary/FigureS2b.png; Output/Supplementary/FigureS2c.png; Output/Supplementary/FigureS2_plot_data.csv,figureS3,figure+table,yes,yes,yes,Verify uncertainty ribbons use smoothed variance correctly.
M017,Full-grid posterior assimilation,Code/Assimilation_grid.R,Output/Figure6/Figure6_cluster_assignments.csv; Output/Intermediate/LME/lme_annual_1368_1911.rds; Output/Intermediate/REACHES/reaches_kriging_lme_grid_mean.csv; Output/Intermediate/REACHES/reaches_kriging_lme_grid_variance.csv; Output/Intermediate/REACHES/reaches_kriging_metadata.csv,Output/Intermediate/Assimilation/assimilated_posterior_lme_grid_mean.csv; Output/Intermediate/Assimilation/assimilated_posterior_lme_grid_variance.csv; Output/Intermediate/Assimilation/assimilated_posterior_lme_grid_diagnostics.csv; Output/Intermediate/Assimilation/assimilated_posterior_lme_grid_metadata.csv,grid_assimilation,intermediate,yes,yes,yes,Uses fixed spatial penalties lambda1=lambda3=1000 and lambda2=10^1.5.
M018,Figure S1: twelve functional-boxplot panels,Code/Supplementary/FigureS1.R,Output/Figure6/Figure6_cluster_assignments.csv; Output/Intermediate/REACHES/reaches_kriging_lme_grid_mean.csv; Output/Intermediate/LME/lme_ensemble_mean_1368_1911.csv; Output/Intermediate/Assimilation/assimilated_posterior_lme_grid_mean.csv,Output/Supplementary/FigureS1_panels/FigureS1_reaches_cluster_1.png; Output/Supplementary/FigureS1_panels/FigureS1_reaches_cluster_2.png; Output/Supplementary/FigureS1_panels/FigureS1_reaches_cluster_3.png; Output/Supplementary/FigureS1_panels/FigureS1_reaches_cluster_4.png; Output/Supplementary/FigureS1_panels/FigureS1_lme_cluster_1.png; Output/Supplementary/FigureS1_panels/FigureS1_lme_cluster_2.png; Output/Supplementary/FigureS1_panels/FigureS1_lme_cluster_3.png; Output/Supplementary/FigureS1_panels/FigureS1_lme_cluster_4.png; Output/Supplementary/FigureS1_panels/FigureS1_posterior_cluster_1.png; Output/Supplementary/FigureS1_panels/FigureS1_posterior_cluster_2.png; Output/Supplementary/FigureS1_panels/FigureS1_posterior_cluster_3.png; Output/Supplementary/FigureS1_panels/FigureS1_posterior_cluster_4.png; Output/Intermediate/FigureS1/FigureS1_cluster_assignments.csv; Output/Intermediate/FigureS1/FigureS1_diagnostics.csv; Output/Intermediate/FigureS1/FigureS1_panel_files.csv,figureS1,figure+manifest,yes,yes,yes,All twelve panels must reuse the Figure 6 four-cluster assignments.
M019,"Section 5.1, Table 2, and Table S2",Code/Analysis/coverage_population_GAM.R,Data/temperature index value.v1.xlsx; Output/Intermediate/LME/lme_annual_1368_1911.rds; historical population rasters,Output/Tables/Table2_coverage_GAM.csv; Output/Tables/Table2_Hgu_coefficient.csv; Output/Tables/TableS2_M4_parametric_coefficients.csv; Output/Tables/TableS2_M4_parametric_coefficients_formatted.csv,coverage_population,table+analysis,yes,yes,yes,Verify the ML/REML choice and update all Section 5.1 manuscript values.
M020,Section 5.2 internal validation,Code/Analysis/interval_compatibility.R,Data/temperature index value.v1.xlsx,Output/Validation/interval_compatibility_summary.csv; Output/Validation/interval_compatibility_summary_formatted.csv,internal_validation,table+analysis,yes,yes,yes,"Update compatibility, RPS, accuracy, and negative-log-score results in the manuscript."
